Latitude,Longitude,Year,Month,Ocean,Sample_Method,Concentration_pieces_m3,Risk_Label
-31.696,-48.56,2015,8,Atlantic Ocean,Grab sample,0.018,Low
6.35,-121.85,2002,12,Pacific Ocean,Neuston net,0.0,Low
0.5,-95.35,2006,10,Pacific Ocean,Manta net,0.013,Low
16.623,-99.6978,2015,1,Pacific Ocean,Grab sample,0.001,Low
19.77,-81.06,2007,3,Atlantic Ocean,Neuston net,0.0,Low
19.3403,-156.087,2007,11,Pacific Ocean,Neuston net,0.631646,High
33.47,-151.63,2011,12,Pacific Ocean,Neuston net,0.00864,Low
32.6775,34.920833,2013,10,Atlantic Ocean,Manta net,1.956425,High
58.034333,-3.627833,2019,1,Atlantic Ocean,Neuston net,0.004425,Low
55.997,-4.888,2018,11,Atlantic Ocean,Neuston net,0.0,Low
81.1909,12.8995,2016,9,Arctic Ocean,Intake seawater pump,0.0,Low
12.95,-156.94,2005,10,Pacific Ocean,Neuston net,0.0216,Low
15.25,-157.55,2010,11,Pacific Ocean,Neuston net,0.0,Low
37.47,-66.97,1991,10,Atlantic Ocean,Neuston net,0.0,Low
38.617833,-20.686667,2019,6,Atlantic Ocean,Manta net,0.138471,High
43.11,-64.37,2001,6,Atlantic Ocean,Neuston net,0.009968,Low
43.61,-67.0,2005,6,Atlantic Ocean,Neuston net,0.0,Low
44.240431,8.469206,2018,9,Atlantic Ocean,Manta net,0.709184,High
57.22,-136.23,2002,7,Pacific Ocean,Neuston net,0.0,Low
39.69,-72.06,2008,9,Atlantic Ocean,Neuston net,0.0,Low
41.05,-70.67,1998,6,Atlantic Ocean,Neuston net,0.003088,Low
41.49,-70.9,1996,7,Atlantic Ocean,Neuston net,0.00216,Low
40.06,-71.16,1995,7,Atlantic Ocean,Neuston net,0.01296,Low
39.84,-68.3,2001,9,Atlantic Ocean,Neuston net,0.0048,Low
40.21,-68.1,1989,7,Atlantic Ocean,Neuston net,0.00648,Low
31.89,-71.22,2000,4,Atlantic Ocean,Neuston net,0.01944,Low
32.14,-64.73,2000,6,Atlantic Ocean,Neuston net,0.047516,Low
32.67,-64.48,1992,5,Atlantic Ocean,Neuston net,0.00432,Low
25.164051,-18.900932,2015,11,Atlantic Ocean,Intake seawater pump,0.5,High
33.06,-148.13,2007,7,Pacific Ocean,Neuston net,0.0,Low
31.790833,-143.96,2019,12,Pacific Ocean,Manta net,8.294709,High
31.99426,-135.652,2015,8,Pacific Ocean,Manta net,4.532856,High
24.28,-82.18,1997,1,Atlantic Ocean,Neuston net,0.00864,Low
21.84,-59.34,1998,10,Atlantic Ocean,Neuston net,0.01296,Low
20.18,-70.07,2008,4,Atlantic Ocean,Neuston net,0.00648,Low
25.38,-18.59,2014,11,Atlantic Ocean,Grab sample,0.0,Low
29.98,-140.0,2004,8,Pacific Ocean,Neuston net,0.0,Low
29.2323,-143.8742,2010,10,Pacific Ocean,Manta net,0.143,High
26.42,-77.91,1993,5,Atlantic Ocean,Neuston net,0.0,Low
27.9237,-82.4807,2016,8,Atlantic Ocean,Van Dorn sampler,0.0,Low
15.28,-64.43,1994,12,Atlantic Ocean,Neuston net,0.0,Low
15.65,-59.37,2001,11,Atlantic Ocean,Neuston net,0.008096,Low
12.73,-61.7,1992,12,Atlantic Ocean,Neuston net,0.0,Low
28.0315,-131.4227,2015,9,Pacific Ocean,Manta net,0.64902,High
25.35,-141.11,2009,2,Pacific Ocean,Neuston net,0.0,Low
22.76,-141.69,2004,4,Pacific Ocean,Neuston net,0.0,Low
12.77,-79.83,1992,3,Atlantic Ocean,Neuston net,0.0,Low
11.17,-67.28,1999,12,Atlantic Ocean,Neuston net,0.00432,Low
11.82,-66.38,2003,12,Atlantic Ocean,Neuston net,0.00216,Low
11.94,-68.26,1987,12,Atlantic Ocean,Neuston net,0.0,Low
17.27,-76.03,1993,2,Atlantic Ocean,Neuston net,0.043196,Low
16.73,-81.21,2000,3,Atlantic Ocean,Neuston net,0.0,Low
16.5,-80.97,1998,2,Atlantic Ocean,Neuston net,0.0,Low
11.38,-63.34,1998,12,Atlantic Ocean,Neuston net,0.0,Low
11.22,-62.23,1996,12,Atlantic Ocean,Neuston net,0.0,Low
33.38,-156.38,2005,10,Pacific Ocean,Neuston net,0.0,Low
40.16,-157.42,2010,12,Pacific Ocean,Neuston net,0.0,Low
31.746667,34.593,2014,2,Atlantic Ocean,Manta net,0.78064,High
35.742,26.212,2019,3,Atlantic Ocean,Manta net,0.9,High
42.637833,-9.14315,2018,9,Atlantic Ocean,Manta net,0.057342,Low
55.901,-4.909167,2018,10,Atlantic Ocean,Neuston net,0.041614,Low
-40.3233,-9.8962,2017,1,Atlantic Ocean,Grab sample,0.001,Low
16.88,-159.15,2004,4,Pacific Ocean,Neuston net,0.0,Low
19.95,-156.16,2009,3,Pacific Ocean,Neuston net,0.0,Low
24.21,-149.32,2007,8,Pacific Ocean,Neuston net,0.0,Low
46.29,-57.62,1989,7,Atlantic Ocean,Neuston net,0.002088,Low
42.58,-65.77,1992,5,Atlantic Ocean,Neuston net,0.0,Low
42.83,-69.38,2008,7,Atlantic Ocean,Neuston net,0.0,Low
42.86,-69.74,2000,8,Atlantic Ocean,Neuston net,0.009256,Low
50.3247,-5.1998,2016,10,Atlantic Ocean,Grab sample,0.0,Low
37.23,-64.5,2001,6,Atlantic Ocean,Neuston net,0.037788,Low
38.2729,-0.27666,2014,10,Atlantic Ocean,Manta net,2.381713,High
36.42,-4.343333,2014,8,Atlantic Ocean,Manta net,0.090741,High
35.016,-141.7381,2009,8,Pacific Ocean,Manta net,10.282,High
34.37,-143.7072,2009,9,Pacific Ocean,Neuston net,5.903267,High
38.967,-140.983,1972,10,Pacific Ocean,Neuston net,0.003,Low
37.2045,-133.865,2007,9,Pacific Ocean,Neuston net,0.425735,High
20.68,-71.58,1991,12,Atlantic Ocean,Neuston net,0.0,Low
25.93,-73.38,1995,5,Atlantic Ocean,Neuston net,0.00864,Low
29.13,-64.94,2001,5,Atlantic Ocean,Neuston net,0.030236,Low
24.2317,-21.2217,2014,11,Atlantic Ocean,Grab sample,0.033,Low
30.0497,-16.0541,2015,9,Atlantic Ocean,Grab sample,0.0,Low
32.000648,-142.5855,2015,8,Pacific Ocean,Manta net,3.964016,High
25.67,-76.07,1993,1,Atlantic Ocean,Neuston net,0.00432,Low
